序号,品牌,判定,风险等级,关键证据,建议行动,优先度
1,OHBT,假洋牌,极高,商标注册人廖晓飞·深圳,立即下架+罚款,P0_立即
2,DVHNMK,疑似假洋牌,极高,无元音字母名+全网查无,查商标+确认注册人,P1_本周
3,TFNDATNH,疑似假洋牌,极高,8字母无元音+全网查无,查商标+确认注册人,P1_本周
4,TPZBWG,疑似假洋牌,极高,无元音字母名+全网查无,查商标+确认注册人,P1_本周
5,AYMDLY,疑似假洋牌,很高,字母名+元音低+无footprint,查商标+确认注册人,P1_本周
6,Khwfjas,疑似假洋牌,很高,字母名+元音低+无footprint,查商标+确认注册人,P1_本周
7,Svecymikov,疑似假洋牌,很高,斯拉夫风格生造名+无footprint,查商标+确认注册人,P1_本周
8,LANLVX,疑似假洋牌,很高,字母名+元音低+无footprint,查商标+确认注册人,P1_本周
9,STBRIN,疑似假洋牌,很高,字母名+元音低+无footprint,查商标+确认注册人,P1_本周
10,RUVWOZS,疑似假洋牌,很高,无元音随机字母+无footprint,查商标+确认注册人,P1_本周
11,Hoxuntu,疑似假洋牌,很高,生造名+无footprint,查商标+确认注册人,P1_本周
12,Tillagello,疑似假洋牌,很高,意式风格生造+无footprint,查商标+确认注册人,P1_本周
13,GINSSEN,疑似假洋牌,很高,仿ginseng生造名+无footprint,查商标+确认注册人,P1_本周
14,EasPowest,疑似假洋牌,中-高,跨无关品类铺货+空壳特征,查商标+确认注册人,P1_本周
15,DR.WOSSEN,疑似假洋牌,中-高,仅港贸易+Dr.前缀仿药妆,查商标+确认注册人,P1_本周
16,MAGIOPY,疑似假洋牌,中,UTC商标持有人Liu Bo(华人)+生造名,查商标+确认注册人,P1_本周
17,AUINONE,疑似假洋牌,中,澳洲新注册PTY+中式营销名"1.88M",查商标+确认注册人,P1_本周
18,LISM,存疑,中,日本宣称但缺母国实体佐证,查商标核实,P2_两周
19,TO-PLAN,存疑,中,疑为日本东京企划但未直接确认,查商标核实,P2_两周
20,NOSSKISS,存疑,中,近似NOSSK美国商标但拼写不符,查商标核实,P2_两周
21,etre su,存疑,低,法语风格名但无母国渊源,查商标核实,P2_两周
