序号,品牌,最终判定,分类依据
1,bioagen,存疑,已核验
2,闻绮（Venchi）,真洋牌,已核验
3,OHBT,假洋牌,已核验
4,格兰凯恩（GLENCAIRN）,真洋牌,已核验
5,karivita,真洋牌,已核验
6,ARGAN SECRET,存疑,已核验
7,RE JU LAB,真洋牌,已核验
8,"Dr.Forster,RHYMBA HILLS",真洋牌(多品牌组合),已核验
9,藏（KURA）,真洋牌,已核验
10,ETIAXIL,真洋牌,已核验
11,POLYPURE EX,真洋牌,已核验
12,TRIDERMA MD,真洋牌,已核验
13,Healthy Care,真洋牌,已核验
14,ORFEU,真洋牌,已核验
15,Timberwolf,真洋牌,已核验
16,SAWYER,真洋牌,已核验
17,GOCCO,真洋牌,已核验
18,DERMEDIC,真洋牌,已核验
19,SUNTA,存疑,已核验
20,A CASALBERT SINCE 1959,真洋牌,已核验
21,NACJOM,存疑,已核验
22,EasPowest,疑似假洋牌,已核验
23,犀補灵,存疑,已核验
24,etre su,存疑,已核验
25,"Nature's Truth,Hydrodol",真洋牌,多品牌
26,DR.WOSSEN,疑似假洋牌,已核验
27,Svecymikov,疑似假洋牌,已核验
28,BLANCO,真洋牌,已核验
29,BIOBLAS,真洋牌,已核验
30,"TOMMY TRUCKER,KLWP",真洋牌,多品牌
31,Beyoğlu Chocolate,真洋牌,已核验
32,Hoxuntu,疑似假洋牌,已核验
33,三丽鸥（SANRIO）,真洋牌,已核验
34,"CKQ,SilkCarda",真洋牌,多品牌
35,RUVWOZS,疑似假洋牌,已核验
36,AUINONE,疑似假洋牌,已核验
37,OMIE,真洋牌,短名
38,莱家（LOACKER）,真洋牌,已核验
39,SPRING SHEEP,真洋牌,已核验
40,丝塔芙,真洋牌,已核验
41,吉百利（Cadbury）,真洋牌,已核验
42,水晶番茄（CRYSTAL TOMATO）,真洋牌,已核验
43,RESONAC,真洋牌,已核验
44,LISM,存疑,已核验
45,Skin Technology,存疑,已核验
46,Nestle,真洋牌,已核验
47,潇洒（SELSUN）,真洋牌,已核验
48,"菊正宗,鸟海誉",真洋牌,已知品牌
49,BIOXCIN,真洋牌,已核验
50,CIGGI,存疑,已核验
51,Tillagello,疑似假洋牌,已核验
52,"美香,LOTUS RICE Flavour of Vietnam",待确认,中英混合
53,GINSSEN,疑似假洋牌,已核验
54,MAGIOPY,疑似假洋牌,已核验
55,CHARM野性魅力,待确认,中英混合
56,"羅刹海,梅竹籣",待确认,中英混合
57,"贺寿利（Healtheries）,Diploma",待确认,中英混合
58,AYMDLY,疑似假洋牌,已核验
59,FREE EYES,待确认,无法快速判断
60,LITTLE GIANT,待确认,无法快速判断
61,"斯高堡SKOTTSBERG,格兰凯恩（GLENCAIRN）",真洋牌,已知品牌
62,ONEDEW,待确认,无法快速判断
63,beaf,真洋牌,短名
64,CMD Naturkosmetik,待确认,无法快速判断
65,Aki Lab,待确认,无法快速判断
66,雾湾（MISTY COVE）,待确认,中英混合
67,Caotina,待确认,无法快速判断
68,GINGKE,待确认,无法快速判断
69,VITALIFE,待确认,无法快速判断
70,WHITTARD,待确认,无法快速判断
71,惠康,待确认,中英混合
72,Little Remedies,待确认,无法快速判断
73,轩尼诗Hennessy,待确认,中英混合
74,BLUE LAKE MILLING,待确认,无法快速判断
75,BRAHMAPRATHAN,待确认,无法快速判断
76,Crusty's,真洋牌,已核验
77,"田岛硝子,格兰凯恩（GLENCAIRN）",真洋牌,已知品牌
78,BOWO,真洋牌,短名
79,Restorex,待确认,无法快速判断
80,Durrell,待确认,无法快速判断
81,BENOSTAN NATURE'S TREATMENT,待确认,无法快速判断
82,MALORY,待确认,无法快速判断
83,"GABRIEL-GLAS,SAINT-LOUIS",真洋牌,多品牌
84,MeeSend,待确认,无法快速判断
85,老瑤薑,待确认,中英混合
86,FVRYD,真洋牌,短名
87,奥纯冠（Nature One Dairy）,待确认,中英混合
88,东鹏 东鹏饮料,待确认,中英混合
89,Liperson,待确认,无法快速判断
90,快乐一爪,待确认,中英混合
91,"沃尔克斯（Walkers）,Waitrose",待确认,中英混合
92,本叮叮,待确认,中英混合
93,Ausiki,待确认,无法快速判断
94,植护,待确认,中英混合
95,"Westmalle TRAPPIST,修道院（La Trappe）",待确认,中英混合
96,ahuhu,真洋牌,短名
97,丽康丝（NIOXIN）,待确认,中英混合
98,AF 1870 SINCE 1870 ANTONIO FACCHIN,待确认,无法快速判断
99,"费登斯,击倒巨人",待确认,中英混合
100,ProNuCare,待确认,无法快速判断
101,KESH KING,待确认,无法快速判断
102,BRETT JOHNSON,待确认,无法快速判断
103,ANNAMAET,待确认,无法快速判断
104,TO-PLAN,待确认,无法快速判断
105,AZ-GRANATA,待确认,无法快速判断
106,NOSSKISS,待确认,无法快速判断
107,DEAURORA,待确认,无法快速判断
