序号,品牌,判定,价格虚高风险,原因,数据来源
1,bioagen,存疑,低,"宣称日本但缺乏母国零售/媒体佐证,疑似贴牌",已联网核验
2,闻绮（Venchi）,真洋牌,低-中,"百科/媒体报道充分,母国渊源真实",已联网核验
3,OHBT,假洋牌,极高,"商标注册人为中国人,宣称American brand,实为深圳公司",已联网核验
4,格兰凯恩（GLENCAIRN）,真洋牌,低-中,"苏格兰水晶世家,威士忌协会认证,海外渊源真实",已联网核验
5,karivita,真洋牌,低-中,"母国实体+政府许可,海外背景真实",已联网核验
6,ARGAN SECRET,存疑,低,"海外零售存在但注册主体不明,需查商标",已联网核验
7,RE JU LAB,真洋牌,低-中,"韩国药剂师创立的药妆品牌,母国知名度真实",已联网核验
8,"Dr.Forster,RHYMBA HILLS",真洋牌(多品牌组合),低-中,RHYMBA HILLS确为马来西亚真品牌;数据为多品牌混合需拆分,已联网核验
9,藏（KURA）,真洋牌,低-中,"日本品牌,母国渊源真实",已联网核验
10,ETIAXIL,真洋牌,低-中,"法国药房止汗剂领导品牌,母国渊源真实",已联网核验
11,POLYPURE EX,真洋牌,低-中,"日本生发产品,母国生产,海外背景真实",已联网核验
12,TRIDERMA MD,真洋牌,低-中,"美国女性创立护肤品牌,母国实体真实",已联网核验
13,Healthy Care,真洋牌,低-中,"母国生产认证+实体,海外背景真实",已联网核验
14,ORFEU,真洋牌,低-中,"巴西精品咖啡,Cup of Excellence获奖,母国真实",已联网核验
15,Timberwolf,真洋牌,低-中,"英美均有实体制造,海外背景真实",已联网核验
16,SAWYER,真洋牌,低-中,"美国户外驱虫品牌,母国实体真实",已联网核验
17,GOCCO,真洋牌,低-中,"西班牙童装,15国190店,母国真实",已联网核验
18,DERMEDIC,真洋牌,低-中,"波兰药妆,母国生产,海外背景真实",已联网核验
19,SUNTA,存疑,低,"存在深圳公司,品牌归属不清,需核实具体主体",已联网核验
20,A CASALBERT SINCE 1959,真洋牌,低-中,"西班牙橄榄油家族企业,母国真实",已联网核验
21,NACJOM,存疑,低,"全网无母国渊源信息,需查商标",已联网核验
22,EasPowest,疑似假洋牌,高,"跨充电线/内衣/彩妆/抹布等无关品类,典型贴牌铺货特征",已联网核验
23,犀補灵,存疑,低,"港资团队,非真正海外血统,借港概念",已联网核验
24,etre su,存疑,低,"无母国渊源信息,法语风格名,疑似贴牌",已联网核验
25,"Nature's Truth,Hydrodol",待核验(多品牌组合),待核验,"多品牌拼接,需拆分核实",规则推断·未核验
26,DR.WOSSEN,疑似假洋牌,高,"无母国渊源,仅港贸易公司,Dr.前缀仿药妆,疑似贴牌",已联网核验
